"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.349130300E-2,3.614732027E-1,5.677223206E-2,2.126197815E-1
3.855130300E-2,4.189406335E-1,6.445217133E-2,2.748513222E-1
4.360359500E-2,3.674471676E-1,1.795482635E-2,2.610759735E-1
4.860687600E-2,3.277315795E-1,-3.091526031E-2,2.373051643E-1
5.361015800E-2,2.800938785E-1,2.383804321E-2,1.659269333E-1
5.855015800E-2,2.910122275E-1,8.985996246E-2,1.034054756E-1
6.349015800E-2,1.827736497E-1,8.866596222E-2,-3.366422653E-2
6.843015800E-2,3.770625591E-2,-1.482868195E-2,-1.480412483E-1
7.334765800E-2,-4.801082611E-2,-1.307487488E-2,-2.301573753E-1
7.841802200E-2,-9.111332893E-2,8.713817596E-2,-1.484491825E-1
8.341338700E-2,-1.582980156E-1,1.232309341E-1,3.052473068E-3
8.847338700E-2,-3.019681573E-1,4.426956177E-3,1.304574013E-1
9.370906400E-2,-4.323506951E-1,-5.168914795E-4,1.503372192E-1
9.870442800E-2,-4.794567823E-1,-2.757167816E-2,1.006987095E-1
1.036997410E-1,-4.731667638E-1,-5.899429321E-3,9.479999542E-3
1.087584390E-1,-4.410831928E-1,1.169586182E-2,-6.919312477E-2
1.137569280E-1,-3.228989244E-1,6.370067596E-2,-1.203374863E-1
1.187554700E-1,-2.002859712E-1,1.448650360E-1,-2.096223831E-2
1.237540120E-1,-1.421679258E-1,1.431665421E-1,-2.613544464E-3
1.288031780E-1,-1.314037442E-1,9.986209869E-2,-3.761291504E-2
1.338042720E-1,-1.172378063E-1,7.792282104E-2,-1.245231628E-1
1.388053140E-1,-9.193843603E-2,4.776287079E-2,-2.624650002E-1
1.438064080E-1,-7.360953093E-2,8.581161499E-3,-3.816761971E-1
1.488480220E-1,-3.221225739E-2,-5.407333374E-4,-3.814892769E-1
1.538510950E-1,4.000699520E-2,-2.908515930E-2,-3.494281769E-1
1.588542200E-1,8.161389828E-2,-2.895927429E-2,-2.483885288E-1
1.638573450E-1,8.406263590E-2,-3.651332855E-2,-1.084578037E-1
1.688929180E-1,1.054571271E-1,-5.924797058E-2,-7.852125168E-2
1.738976580E-1,6.050705910E-2,-1.213407516E-1,-6.470155716E-2
1.789023970E-1,8.809363842E-2,-1.387691498E-1,-1.748347282E-2
1.839071370E-1,1.144834757E-1,-1.465673447E-1,-5.577063560E-2
1.889378140E-1,1.532886028E-1,-1.351652145E-1,-9.914064407E-2
1.939438550E-1,1.781034172E-1,-7.018470764E-2,-1.694703102E-1
1.989499490E-1,1.533884406E-1,-4.252529144E-2,-1.511092186E-1
2.039559910E-1,1.172806621E-1,1.653671265E-2,-7.152581215E-2
2.089827620E-1,2.375119925E-2,4.612350464E-2,-7.325792313E-2
2.139898450E-1,-3.223592043E-2,2.000808716E-3,-1.957726479E-1
2.189968760E-1,-3.752511740E-2,-5.916786194E-2,-2.740759850E-1
2.240039600E-1,1.174062490E-2,-3.221607208E-2,-3.185255527E-1
2.290277100E-1,1.231827438E-1,-1.014423370E-2,-2.859904766E-1
2.340356260E-1,2.045875192E-1,-5.127239227E-2,-2.414529324E-1
2.390435430E-1,2.345234156E-1,-1.115102768E-1,-1.652212143E-1
2.440514080E-1,2.699375153E-1,-2.030048370E-1,-1.247749329E-1
2.490726580E-1,3.375518024E-1,-2.848262787E-1,-1.296958923E-1
2.540812510E-1,4.016517401E-1,-1.954631805E-1,-7.573723793E-2
2.590898450E-1,4.206905365E-1,-1.541080475E-1,-6.486034393E-2
2.640984390E-1,3.407225609E-1,-1.222372055E-1,-6.153893471E-2
2.691176050E-1,1.955139339E-1,-1.266517639E-1,-1.396181583E-1
